order_id,order_date,customer_id,customer_name,city,state,region,product_id,product,category,quantity,unit_price,cost_price,discount_pct,discount_amount,shipping_cost,gross_revenue,net_revenue,total_cost,profit,profit_margin_pct,payment_mode,status,delivery_days,warehouse
O0012025,2024-01-01,C01485,Arjun Gupta,Vadodara,Gujarat,West,P0059,Jeans 3,Fashion,4,5567.37,3925.95,0,0.0,59.61,22269.48,22269.48,15763.41,6506.07,29.22,Cash on Delivery,Delivered,7.0,WH-East
O0012295,2024-01-01,C02610,Rahul Yadav,Kolkata,West Bengal,East,P0064,Sneakers 4,Fashion,5,7907.52,5542.6,5,1976.88,75.41,39537.6,37560.72,27788.41,9772.31,26.02,Net Banking,Delivered,2.0,WH-West
O0013124,2024-01-01,C00097,Meera Verma,New Delhi,Delhi,North,P0065,Jacket 1,Fashion,3,5425.91,4206.62,10,1627.77,322.2,16277.73,0.0,12942.06,-12942.06,0.0,UPI,Returned,2.0,WH-West
O0014041,2024-01-01,C01513,Mohit Joshi,Hyderabad,Telangana,South,P0048,Lamp 4,Home,2,7879.3,4787.19,30,4727.58,41.98,15758.6,11031.02,9616.36,1414.66,12.82,Cash on Delivery,Processing,,WH-East
O0014821,2024-01-01,C00449,Riya Mishra,Kolkata,West Bengal,East,P0013,Monitor 1,Electronics,1,38889.07,28715.61,20,7777.81,123.11,38889.07,0.0,28838.72,-28838.72,0.0,Cash on Delivery,Returned,4.0,WH-West
O0015290,2024-01-01,C01975,Rohan Jain,Mysuru,Karnataka,South,P0004,Laptop 4,Electronics,2,14871.73,8583.53,15,4461.52,98.24,29743.46,25281.94,17265.3,8016.64,31.71,Credit Card,Delivered,2.0,WH-South
O0016137,2024-01-01,C00021,Sneha Agarwal,Pune,Maharashtra,West,P0036,Mixer 4,Home,3,7960.43,5801.11,0,0.0,240.13,23881.29,23881.29,17643.46,6237.83,26.12,Debit Card,Delivered,8.0,WH-East
O0016210,2024-01-01,C00482,Isha Prajapat,Noida,Uttar Pradesh,North,P0008,Smartphone 4,Electronics,4,55464.52,33948.39,5,11092.9,254.76,221858.08,210765.18,136048.32,74716.86,35.45,Net Banking,Delivered,4.0,WH-North
O0016374,2024-01-01,C00494,Sneha Prajapat,Kolkata,West Bengal,East,P0131,Dumbbells 3,Sports,1,1242.75,738.42,5,62.14,339.04,1242.75,1180.61,1077.46,103.15,8.74,Debit Card,Delivered,6.0,WH-South
O0016439,2024-01-01,C00709,Rahul Joshi,Coimbatore,Tamil Nadu,South,P0128,Cricket Bat 4,Sports,2,9269.29,5540.9,5,926.93,425.02,18538.58,17611.65,11506.82,6104.83,34.66,UPI,Delivered,4.0,WH-West
O0019693,2024-01-01,C00729,Aditya Kumar,New Delhi,Delhi,North,P0111,Fiction Book 3,Books,5,1207.24,701.58,20,1207.24,47.79,6036.2,4828.96,3555.69,1273.27,26.37,UPI,Shipped,,WH-South
O0001302,2024-01-02,C01620,Aditya Singh,Hyderabad,Telangana,South,P0076,Watch 4,Fashion,1,7303.61,5953.73,15,1095.54,205.32,7303.61,0.0,6159.05,-6159.05,0.0,Debit Card,Cancelled,,WH-North
O0002299,2024-01-02,C02522,Aarav Verma,New Delhi,Delhi,North,P0037,Vacuum Cleaner 1,Home,5,2908.03,2025.08,10,1454.02,239.53,14540.15,13086.13,10364.93,2721.2,20.79,Cash on Delivery,Delivered,7.0,WH-North
O0002719,2024-01-02,C02737,Kavya Mishra,Mysuru,Karnataka,South,P0036,Mixer 4,Home,2,9318.78,7314.29,20,3727.51,77.97,18637.56,14910.05,14706.55,203.5,1.36,UPI,Delivered,1.0,WH-South
O0003724,2024-01-02,C02800,Ananya Patel,Bhopal,Madhya Pradesh,West,P0065,Jacket 1,Fashion,2,1808.75,1003.55,15,542.62,257.96,3617.5,3074.88,2265.06,809.82,26.34,Wallet,Delivered,4.0,WH-West
O0004407,2024-01-02,C00278,Aditya Sharma,Ahmedabad,Gujarat,West,P0056,T-Shirt 4,Fashion,1,6241.44,4820.37,10,624.14,415.54,6241.44,5617.3,5235.91,381.39,6.79,Wallet,Delivered,6.0,WH-South
O0007088,2024-01-02,C02214,Ananya Singh,Noida,Uttar Pradesh,North,P0021,Mouse 1,Electronics,1,50195.84,28370.6,15,7529.38,207.53,50195.84,42666.46,28578.13,14088.33,33.02,Credit Card,Delivered,7.0,WH-West
O0007340,2024-01-02,C00331,Vivaan Verma,Hyderabad,Telangana,South,P0126,Cricket Bat 2,Sports,1,11255.19,8387.46,30,3376.56,89.08,11255.19,7878.63,8476.54,-597.91,-7.59,Net Banking,Delivered,2.0,WH-South
O0007936,2024-01-02,C01382,Riya Sharma,Noida,Uttar Pradesh,North,P0047,Lamp 3,Home,1,11355.11,7325.3,0,0.0,249.9,11355.11,11355.11,7575.2,3779.91,33.29,UPI,Delivered,6.0,WH-West
O0008727,2024-01-02,C02043,Riya Yadav,Chennai,Tamil Nadu,South,P0069,Backpack 1,Fashion,1,1865.77,1338.37,10,186.58,90.92,1865.77,1679.19,1429.29,249.9,14.88,Credit Card,Shipped,,WH-North
O0008995,2024-01-02,C02773,Vivaan Saini,Mysuru,Karnataka,South,P0083,Shampoo 3,Beauty,2,2530.56,2073.69,10,506.11,435.79,5061.12,4555.01,4583.17,-28.16,-0.62,UPI,Delivered,5.0,WH-South
O0009728,2024-01-02,C01879,Priya Yadav,Surat,Gujarat,West,P0078,Face Wash 2,Beauty,1,1637.11,1088.06,0,0.0,327.66,1637.11,1637.11,1415.72,221.39,13.52,UPI,Processing,,WH-North
O0010356,2024-01-02,C00330,Pooja Prajapat,Bhopal,Madhya Pradesh,West,P0022,Mouse 2,Electronics,3,39676.52,24575.04,10,11902.96,380.49,119029.56,107126.6,74105.61,33020.99,30.82,UPI,Delivered,1.0,WH-West
O0011344,2024-01-02,C00344,Rahul Saini,Hyderabad,Telangana,South,P0011,Tablet 3,Electronics,3,21284.08,16039.77,5,3192.61,342.43,63852.24,0.0,48461.74,-48461.74,0.0,Net Banking,Cancelled,,WH-West
O0014981,2024-01-02,C01204,Priya Saini,New Delhi,Delhi,North,P0017,Keyboard 1,Electronics,3,23371.43,17134.17,0,0.0,239.58,70114.29,70114.29,51642.09,18472.2,26.35,Credit Card,Delivered,5.0,WH-South
O0015656,2024-01-02,C00091,Riya Singh,Hyderabad,Telangana,South,P0081,Shampoo 1,Beauty,4,4714.92,3821.53,10,1885.97,358.11,18859.68,16973.71,15644.23,1329.48,7.83,Cash on Delivery,Delivered,3.0,WH-South
O0017502,2024-01-02,C01875,Neha Kumar,Chennai,Tamil Nadu,South,P0020,Keyboard 4,Electronics,3,2832.52,2099.84,5,424.88,186.26,8497.56,0.0,6485.78,-6485.78,0.0,Cash on Delivery,Returned,6.0,WH-West
O0019157,2024-01-02,C02853,Mohit Yadav,Hyderabad,Telangana,South,P0027,Headphones 3,Electronics,3,62050.61,47442.14,10,18615.18,276.05,186151.83,167536.65,142602.47,24934.18,14.88,Credit Card,Delivered,5.0,WH-South
O0000105,2024-01-03,C01329,Aditya Patel,New Delhi,Delhi,North,P0118,Running Shoes 2,Sports,1,6796.18,5088.83,0,0.0,272.32,6796.18,6796.18,5361.15,1435.03,21.12,Cash on Delivery,Shipped,,WH-South
O0001607,2024-01-03,C00155,Neha Joshi,Mumbai,Maharashtra,West,P0085,Moisturizer 1,Beauty,4,1773.01,1232.44,10,709.2,83.58,7092.04,6382.84,5013.34,1369.5,21.46,Credit Card,Delivered,2.0,WH-North
O0002060,2024-01-03,C01209,Nisha Saini,Kota,Rajasthan,North,P0052,Storage Box 4,Home,1,11980.02,7080.32,10,1198.0,316.57,11980.02,10782.02,7396.89,3385.13,31.4,Credit Card,Delivered,5.0,WH-South
O0003965,2024-01-03,C02653,Meera Yadav,Pune,Maharashtra,West,P0052,Storage Box 4,Home,1,12559.36,7735.96,5,627.97,311.98,12559.36,11931.39,8047.94,3883.45,32.55,UPI,Delivered,6.0,WH-South
O0005481,2024-01-03,C01113,Isha Singh,Hyderabad,Telangana,South,P0055,T-Shirt 3,Fashion,1,5868.22,4528.85,15,880.23,299.57,5868.22,0.0,4828.42,-4828.42,0.0,Credit Card,Cancelled,,WH-West
O0006659,2024-01-03,C00909,Pooja Gupta,New Delhi,Delhi,North,P0119,Running Shoes 3,Sports,5,4933.26,3439.96,5,1233.32,323.09,24666.3,23432.98,17522.89,5910.09,25.22,Net Banking,Delivered,6.0,WH-West
O0006781,2024-01-03,C00008,Diya Patel,Kanpur,Uttar Pradesh,North,P0091,Perfume 3,Beauty,3,2700.32,1778.43,5,405.05,92.69,8100.96,7695.91,5427.98,2267.93,29.47,Net Banking,Delivered,7.0,WH-West
O0008264,2024-01-03,C01048,Rohan Yadav,Noida,Uttar Pradesh,North,P0113,Yoga Mat 1,Sports,1,484.13,395.52,10,48.41,113.6,484.13,435.72,509.12,-73.4,-16.85,Credit Card,Delivered,8.0,WH-South
O0009095,2024-01-03,C01309,Vivaan Gupta,New Delhi,Delhi,North,P0050,Storage Box 2,Home,5,11997.96,9607.9,15,8998.47,354.53,59989.8,50991.33,48394.03,2597.3,5.09,UPI,Delivered,7.0,WH-South
O0010153,2024-01-03,C01911,Neha Yadav,Jaipur,Rajasthan,North,P0104,Data Science Book 4,Books,4,1052.1,831.33,10,420.84,196.31,4208.4,3787.56,3521.63,265.93,7.02,Debit Card,Delivered,7.0,WH-West
O0010542,2024-01-03,C02835,Riya Yadav,New Delhi,Delhi,North,P0092,Perfume 4,Beauty,4,2934.71,1615.2,20,2347.77,228.05,11738.84,9391.07,6688.85,2702.22,28.77,UPI,Delivered,2.0,WH-North
O0010675,2024-01-03,C00199,Kavya Verma,New Delhi,Delhi,North,P0008,Smartphone 4,Electronics,5,16459.4,12483.52,0,0.0,53.11,82297.0,82297.0,62470.71,19826.29,24.09,Net Banking,Delivered,3.0,WH-West
O0010932,2024-01-03,C00393,Aditya Sharma,Indore,Madhya Pradesh,West,P0119,Running Shoes 3,Sports,2,1062.57,675.1,20,425.03,287.88,2125.14,1700.11,1638.08,62.03,3.65,UPI,Delivered,2.0,WH-South
O0012658,2024-01-03,C02103,Kavya Joshi,Surat,Gujarat,West,P0075,Watch 3,Fashion,5,5967.39,3792.93,10,2983.7,130.18,29836.95,26853.25,19094.83,7758.42,28.89,UPI,Delivered,2.0,WH-East
O0017922,2024-01-03,C01931,Rohan Singh,New Delhi,Delhi,North,P0054,T-Shirt 2,Fashion,3,5927.11,3424.77,25,4445.33,224.67,17781.33,13336.0,10498.98,2837.02,21.27,Cash on Delivery,Shipped,,WH-West
O0017926,2024-01-03,C00813,Karan Singh,Kolkata,West Bengal,East,P0011,Tablet 3,Electronics,5,33271.32,23725.51,5,8317.83,363.62,166356.6,158038.77,118991.17,39047.6,24.71,Cash on Delivery,Delivered,8.0,WH-West
O0019201,2024-01-03,C00326,Kavya Agarwal,Kolkata,West Bengal,East,P0047,Lamp 3,Home,1,8500.09,5046.35,5,425.0,98.34,8500.09,8075.09,5144.69,2930.4,36.29,UPI,Shipped,,WH-South
O0019303,2024-01-03,C01504,Diya Verma,New Delhi,Delhi,North,P0022,Mouse 2,Electronics,1,6901.13,3965.81,5,345.06,266.75,6901.13,6556.07,4232.56,2323.51,35.44,Credit Card,Delivered,3.0,WH-East
O0000037,2024-01-04,C01706,Karan Sharma,New Delhi,Delhi,North,P0014,Monitor 2,Electronics,1,37913.63,30546.07,5,1895.68,317.29,37913.63,36017.95,30863.36,5154.59,14.31,UPI,Delivered,1.0,WH-East
O0002469,2024-01-04,C01480,Pooja Gupta,Kanpur,Uttar Pradesh,North,P0028,Headphones 4,Electronics,2,42765.36,32469.53,15,12829.61,240.91,85530.72,0.0,65179.97,-65179.97,0.0,Credit Card,Returned,4.0,WH-North
O0004290,2024-01-04,C00789,Nisha Verma,Kolkata,West Bengal,East,P0107,Business Book 3,Books,1,1359.42,785.87,10,135.94,232.32,1359.42,1223.48,1018.19,205.29,16.78,Credit Card,Delivered,8.0,WH-North
O0004542,2024-01-04,C00934,Diya Patel,Indore,Madhya Pradesh,West,P0075,Watch 3,Fashion,2,5250.12,3714.62,0,0.0,352.4,10500.24,0.0,7781.64,-7781.64,0.0,UPI,Returned,3.0,WH-South
O0006202,2024-01-04,C00731,Neha Agarwal,Pune,Maharashtra,West,P0006,Smartphone 2,Electronics,4,45909.95,35584.55,5,9181.99,242.08,183639.8,174457.81,142580.28,31877.53,18.27,Wallet,Processing,,WH-South
O0008107,2024-01-04,C02198,Neha Mehta,Bengaluru,Karnataka,South,P0095,Sunscreen 3,Beauty,5,1594.15,1260.61,0,0.0,287.68,7970.75,7970.75,6590.73,1380.02,17.31,Debit Card,Delivered,1.0,WH-West
O0008251,2024-01-04,C00175,Sneha Saini,Coimbatore,Tamil Nadu,South,P0067,Jacket 3,Fashion,5,6891.28,3916.88,15,5168.46,415.32,34456.4,29287.94,19999.72,9288.22,31.71,UPI,Delivered,8.0,WH-West
O0008300,2024-01-04,C01819,Karan Gupta,Hyderabad,Telangana,South,P0026,Headphones 2,Electronics,2,45634.3,27646.13,0,0.0,364.73,91268.6,91268.6,55656.99,35611.61,39.02,Debit Card,Delivered,4.0,WH-South
O0009348,2024-01-04,C00743,Rohan Prajapat,Noida,Uttar Pradesh,North,P0073,Watch 1,Fashion,2,2607.06,1507.67,0,0.0,204.89,5214.12,5214.12,3220.23,1993.89,38.24,Credit Card,Delivered,5.0,WH-North
O0010568,2024-01-04,C00403,Aditya Kumar,Jodhpur,Rajasthan,North,P0064,Sneakers 4,Fashion,1,5324.61,3888.79,0,0.0,385.73,5324.61,5324.61,4274.52,1050.09,19.72,UPI,Delivered,8.0,WH-West
O0011695,2024-01-04,C02249,Aarav Agarwal,Nagpur,Maharashtra,West,P0077,Face Wash 1,Beauty,2,1300.58,930.61,0,0.0,58.24,2601.16,2601.16,1919.46,681.7,26.21,Credit Card,Delivered,4.0,WH-East
O0012321,2024-01-04,C02101,Rahul Joshi,Indore,Madhya Pradesh,West,P0091,Perfume 3,Beauty,5,402.66,296.88,10,201.33,56.14,2013.3,0.0,1540.54,-1540.54,0.0,UPI,Returned,4.0,WH-West
O0012333,2024-01-04,C02510,Ananya Mishra,Kolkata,West Bengal,East,P0115,Yoga Mat 3,Sports,1,3688.62,2575.32,5,184.43,169.23,3688.62,3504.19,2744.55,759.64,21.68,Wallet,Shipped,,WH-West
O0012732,2024-01-04,C02509,Sneha Verma,Ahmedabad,Gujarat,West,P0015,Monitor 3,Electronics,4,32675.4,26578.05,5,6535.08,389.52,130701.6,124166.52,106701.72,17464.8,14.07,Debit Card,Delivered,3.0,WH-West
O0013484,2024-01-04,C01079,Sneha Saini,Kolkata,West Bengal,East,P0031,Air Purifier 3,Home,2,10167.46,7811.29,10,2033.49,396.8,20334.92,18301.43,16019.38,2282.05,12.47,Credit Card,Delivered,1.0,WH-South
O0013553,2024-01-04,C02401,Karan Joshi,Kolkata,West Bengal,East,P0032,Air Purifier 4,Home,1,14279.49,11294.98,30,4283.85,57.49,14279.49,9995.64,11352.47,-1356.83,-13.57,Credit Card,Processing,,WH-South
O0013615,2024-01-04,C00570,Meera Singh,Bengaluru,Karnataka,South,P0085,Moisturizer 1,Beauty,2,3149.77,2138.87,15,944.93,277.52,6299.54,5354.61,4555.26,799.35,14.93,Wallet,Delivered,3.0,WH-South
O0014971,2024-01-04,C01150,Rahul Patel,Jodhpur,Rajasthan,North,P0114,Yoga Mat 2,Sports,1,4419.24,2999.69,15,662.89,137.4,4419.24,3756.35,3137.09,619.26,16.49,Debit Card,Shipped,,WH-West
O0015987,2024-01-04,C00206,Vivaan Agarwal,New Delhi,Delhi,North,P0109,Fiction Book 1,Books,2,521.2,375.41,25,260.6,356.86,1042.4,781.8,1107.68,-325.88,-41.68,Credit Card,Delivered,6.0,WH-North
O0017077,2024-01-04,C02307,Aarav Joshi,Hyderabad,Telangana,South,P0028,Headphones 4,Electronics,3,18971.88,12822.15,25,14228.91,164.62,56915.64,42686.73,38631.07,4055.66,9.5,Debit Card,Delivered,6.0,WH-North
O0017209,2024-01-04,C01849,Vivaan Mishra,Surat,Gujarat,West,P0074,Watch 2,Fashion,5,1115.23,642.04,0,0.0,191.09,5576.15,5576.15,3401.29,2174.86,39.0,Cash on Delivery,Delivered,6.0,WH-East
O0017824,2024-01-04,C02349,Meera Agarwal,Nagpur,Maharashtra,West,P0071,Backpack 3,Fashion,2,2813.35,1874.53,25,1406.68,144.97,5626.7,4220.02,3894.03,325.99,7.72,UPI,Delivered,7.0,WH-South
O0018430,2024-01-04,C02204,Kavya Verma,Mumbai,Maharashtra,West,P0105,Business Book 1,Books,4,1250.01,985.68,15,750.01,163.22,5000.04,4250.03,4105.94,144.09,3.39,Wallet,Delivered,7.0,WH-North
O0019170,2024-01-04,C02786,Kavya Mishra,Mysuru,Karnataka,South,P0036,Mixer 4,Home,1,2601.69,2010.41,0,0.0,153.12,2601.69,2601.69,2163.53,438.16,16.84,Debit Card,Delivered,3.0,WH-North
O0019352,2024-01-04,C01432,Nisha Mishra,Mysuru,Karnataka,South,P0004,Laptop 4,Electronics,2,9884.75,6700.05,30,5930.85,361.09,19769.5,13838.65,13761.19,77.46,0.56,Credit Card,Delivered,4.0,WH-South
O0019854,2024-01-04,C02848,Pooja Verma,Indore,Madhya Pradesh,West,P0129,Dumbbells 1,Sports,1,2321.31,1791.79,25,580.33,108.59,2321.31,1740.98,1900.38,-159.4,-9.16,Credit Card,Delivered,4.0,WH-East
O0000909,2024-01-05,C00399,Mohit Jain,Kolkata,West Bengal,East,P0126,Cricket Bat 2,Sports,2,2242.89,1695.14,15,672.87,415.93,4485.78,3812.91,3806.21,6.7,0.18,Debit Card,Shipped,,WH-West
O0001147,2024-01-05,C00471,Priya Prajapat,Coimbatore,Tamil Nadu,South,P0049,Storage Box 1,Home,4,6156.37,3569.34,5,1231.27,429.67,24625.48,23394.21,14707.03,8687.18,37.13,Debit Card,Delivered,7.0,WH-West
O0001469,2024-01-05,C01565,Neha Mehta,Kolkata,West Bengal,East,P0058,Jeans 2,Fashion,4,5948.18,4598.8,25,5948.18,319.71,23792.72,17844.54,18714.91,-870.37,-4.88,Debit Card,Delivered,7.0,WH-East
O0006171,2024-01-05,C00360,Rahul Joshi,New Delhi,Delhi,North,P0031,Air Purifier 3,Home,5,6927.84,5320.51,5,1731.96,330.87,34639.2,32907.24,26933.42,5973.82,18.15,Debit Card,Delivered,4.0,WH-East
O0006328,2024-01-05,C01773,Kavya Joshi,Coimbatore,Tamil Nadu,South,P0023,Mouse 3,Electronics,2,52986.86,39401.72,15,15896.06,177.69,105973.72,90077.66,78981.13,11096.53,12.32,Credit Card,Delivered,5.0,WH-West
O0007177,2024-01-05,C01385,Neha Yadav,Kolkata,West Bengal,East,P0089,Perfume 1,Beauty,2,563.77,385.7,10,112.75,406.61,1127.54,0.0,1178.01,-1178.01,0.0,Debit Card,Cancelled,,WH-North
O0007309,2024-01-05,C01001,Karan Kumar,New Delhi,Delhi,North,P0046,Lamp 2,Home,2,2018.22,1568.15,15,605.47,377.77,4036.44,3430.97,3514.07,-83.1,-2.42,Debit Card,Delivered,8.0,WH-West
O0008627,2024-01-05,C00368,Priya Sharma,Coimbatore,Tamil Nadu,South,P0041,Coffee Maker 1,Home,1,14359.06,9598.63,20,2871.81,247.67,14359.06,11487.25,9846.3,1640.95,14.28,UPI,Shipped,,WH-North
O0010949,2024-01-05,C02216,Karan Saini,Ahmedabad,Gujarat,West,P0116,Yoga Mat 4,Sports,4,4519.99,2570.91,20,3615.99,343.36,18079.96,14463.97,10627.0,3836.97,26.53,UPI,Delivered,4.0,WH-East
O0011109,2024-01-05,C02030,Karan Prajapat,Surat,Gujarat,West,P0071,Backpack 3,Fashion,1,2588.25,1905.82,5,129.41,391.93,2588.25,2458.84,2297.75,161.09,6.55,Credit Card,Shipped,,WH-West
O0012019,2024-01-05,C00658,Neha Patel,Bengaluru,Karnataka,South,P0098,Programming Book 2,Books,1,2332.26,1530.73,5,116.61,374.03,2332.26,2215.65,1904.76,310.89,14.03,Net Banking,Delivered,8.0,WH-West
O0013351,2024-01-05,C02468,Diya Mehta,Hyderabad,Telangana,South,P0030,Air Purifier 2,Home,1,16967.04,10713.13,10,1696.7,49.91,16967.04,15270.34,10763.04,4507.3,29.52,Debit Card,Delivered,4.0,WH-South
O0013520,2024-01-05,C01509,Isha Mishra,Surat,Gujarat,West,P0006,Smartphone 2,Electronics,2,42867.12,33809.33,5,4286.71,399.82,85734.24,81447.53,68018.48,13429.05,16.49,UPI,Delivered,6.0,WH-West
O0014133,2024-01-05,C00292,Rohan Jain,Kolkata,West Bengal,East,P0072,Backpack 4,Fashion,1,3125.28,2085.97,20,625.06,294.72,3125.28,2500.22,2380.69,119.53,4.78,UPI,Delivered,1.0,WH-East
O0014756,2024-01-05,C01344,Mohit Mishra,Hyderabad,Telangana,South,P0043,Coffee Maker 3,Home,2,7645.46,4891.89,10,1529.09,270.38,15290.92,13761.83,10054.16,3707.67,26.94,UPI,Shipped,,WH-South
O0015221,2024-01-05,C00704,Karan Agarwal,Kanpur,Uttar Pradesh,North,P0123,Football 3,Sports,5,3079.26,1881.82,5,769.82,302.22,15396.3,14626.48,9711.32,4915.16,33.6,Debit Card,Delivered,7.0,WH-North
O0016345,2024-01-05,C01631,Diya Jain,Mysuru,Karnataka,South,P0114,Yoga Mat 2,Sports,5,4397.51,3138.0,15,3298.13,251.89,21987.55,18689.42,15941.89,2747.53,14.7,Credit Card,Delivered,4.0,WH-East
O0017463,2024-01-05,C01683,Ananya Gupta,Coimbatore,Tamil Nadu,South,P0099,Programming Book 3,Books,1,1197.81,920.89,10,119.78,60.42,1197.81,1078.03,981.31,96.72,8.97,UPI,Delivered,4.0,WH-North
O0018277,2024-01-05,C01000,Ananya Mehta,Indore,Madhya Pradesh,West,P0036,Mixer 4,Home,2,13181.6,10606.59,5,1318.16,221.95,26363.2,25045.04,21435.13,3609.91,14.41,UPI,Delivered,8.0,WH-North
O0018576,2024-01-05,C02302,Karan Kumar,Coimbatore,Tamil Nadu,South,P0020,Keyboard 4,Electronics,4,34516.61,25625.78,0,0.0,179.18,138066.44,0.0,102682.3,-102682.3,0.0,Debit Card,Cancelled,,WH-South
O0019626,2024-01-05,C00327,Neha Saini,Hyderabad,Telangana,South,P0024,Mouse 4,Electronics,3,54556.12,30238.63,0,0.0,326.16,163668.36,163668.36,91042.05,72626.31,44.37,UPI,Delivered,2.0,WH-North
O0000800,2024-01-06,C01046,Neha Patel,Surat,Gujarat,West,P0030,Air Purifier 2,Home,1,4399.16,2878.16,10,439.92,136.81,4399.16,0.0,3014.97,-3014.97,0.0,UPI,Cancelled,,WH-North
O0003018,2024-01-06,C01357,Neha Saini,Noida,Uttar Pradesh,North,P0125,Cricket Bat 1,Sports,4,2540.84,1587.72,5,508.17,215.99,10163.36,9655.19,6566.87,3088.32,31.99,UPI,Delivered,3.0,WH-South
O0003120,2024-01-06,C02532,Ananya Kumar,Mysuru,Karnataka,South,P0063,Sneakers 3,Fashion,1,1988.48,1447.48,5,99.42,248.98,1988.48,1889.06,1696.46,192.6,10.2,Debit Card,Delivered,1.0,WH-North
O0003479,2024-01-06,C02362,Pooja Singh,Bhopal,Madhya Pradesh,West,P0127,Cricket Bat 3,Sports,4,5010.83,2970.86,5,1002.17,417.38,20043.32,19041.15,12300.82,6740.33,35.4,Cash on Delivery,Delivered,1.0,WH-North
O0006442,2024-01-06,C02587,Aisha Joshi,Kolkata,West Bengal,East,P0070,Backpack 2,Fashion,1,3516.81,2723.21,25,879.2,384.68,3516.81,2637.61,3107.89,-470.28,-17.83,Net Banking,Delivered,4.0,WH-West
O0006878,2024-01-06,C02612,Aditya Verma,Mysuru,Karnataka,South,P0112,Fiction Book 4,Books,1,2397.93,1594.43,20,479.59,190.05,2397.93,1918.34,1784.48,133.86,6.98,Cash on Delivery,Delivered,4.0,WH-West
O0007239,2024-01-06,C01825,Meera Mishra,Lucknow,Uttar Pradesh,North,P0104,Data Science Book 4,Books,1,2009.32,1522.64,15,301.4,283.21,2009.32,1707.92,1805.85,-97.93,-5.73,Credit Card,Delivered,6.0,WH-West
O0007864,2024-01-06,C01335,Priya Singh,Noida,Uttar Pradesh,North,P0086,Moisturizer 2,Beauty,2,734.54,459.2,10,146.91,71.65,1469.08,1322.17,990.05,332.12,25.12,UPI,Delivered,2.0,WH-West
O0008730,2024-01-06,C00223,Aarav Verma,Coimbatore,Tamil Nadu,South,P0018,Keyboard 2,Electronics,1,31833.06,25057.31,5,1591.65,230.45,31833.06,30241.41,25287.76,4953.65,16.38,Credit Card,Delivered,2.0,WH-North
O0009206,2024-01-06,C02875,Rahul Jain,Surat,Gujarat,West,P0116,Yoga Mat 4,Sports,2,4900.64,3219.62,5,490.06,326.27,9801.28,9311.22,6765.51,2545.71,27.34,Net Banking,Delivered,1.0,WH-South
O0009493,2024-01-06,C02137,Nisha Yadav,Indore,Madhya Pradesh,West,P0124,Football 4,Sports,5,5946.4,3879.49,5,1486.6,128.72,29732.0,28245.4,19526.17,8719.23,30.87,Cash on Delivery,Shipped,,WH-East
